reference_area,time_period,observation_value
Indonesia,2011,219.02987000000002
Indonesia,2012,222.4557
Indonesia,2013,225.62889
Indonesia,2014,225.03906
"Iran, Islamic Republic of",2009,235.30581
"Iran, Islamic Republic of",2010,232.87973
"Iran, Islamic Republic of",2011,241.86905
"Iran, Islamic Republic of",2012,248.86241
"Iran, Islamic Republic of",2013,240.67840999999999
"Iran, Islamic Republic of",2014,242.22674999999998
Iraq,1975,76.8503
Iraq,1976,78.29991
Iraq,1977,85.35130000000001
Iraq,1978,102.37911
Iraq,1979,118.23957999999999
Iraq,1980,128.72566999999998
Iraq,1981,130.42284999999998
Iraq,1982,134.56852
Iraq,1985,121.15709
Iraq,1987,121.34846
Iraq,1988,117.356
Iraq,1989,115.22717
Iraq,1993,105.22872000000001
Iraq,1999,90.85858999999999
Iraq,2000,96.4203
Iraq,2003,106.85897
Iraq,2004,120.54371
Iraq,2007,134.06945000000002
Ireland,1975,221.85422
Ireland,1976,224.78184
Ireland,1977,226.48066
Ireland,1978,228.10254
Ireland,1980,78.25042
Ireland,1982,248.10345
Ireland,1991,228.17210999999998
Ireland,1992,232.93851999999998
Ireland,1995,244.08748
Ireland,1996,243.65357
Ireland,1997,241.46878999999998
Ireland,1998,261.06887
Ireland,1999,257.35357
Ireland,2000,256.56101
Ireland,2001,255.31781
Ireland,2002,260.91628000000003
Ireland,2003,267.12211
Ireland,2004,275.17193
Ireland,2005,93.38732
Ireland,2006,94.71627
Ireland,2007,96.32483
Ireland,2008,97.60719
Ireland,2009,98.97931
