Country or Area,Subgroup,Year,Source,Unit,Value,Value Footnotes
Brunei,Male,2004,UNESCO_UIS Database_Sep2007,Number,1670,
Brunei,Male,2003,UNESCO_UIS Database_Sep2007,Number,1605,
Brunei,Male,2002,UNESCO_UIS Database_Sep2007,Number,1627,
Brunei,Male,2001,UNESCO_UIS Database_Sep2007,Number,1649,
Brunei,Male,2000,UNESCO_UIS Database_Sep2007,Number,1404,
Brunei,Male,1999,UNESCO_UIS Database_Sep2007,Number,1263,
Bulgaria,Female,2005,UNESCO_UIS Database_Sep2007,Number,123940,
Bulgaria,Female,2004,UNESCO_UIS Database_Sep2007,Number,119890,
Bulgaria,Female,2003,UNESCO_UIS Database_Sep2007,Number,121709,
Bulgaria,Female,2002,UNESCO_UIS Database_Sep2007,Number,123261,
Bulgaria,Female,2001,UNESCO_UIS Database_Sep2007,Number,139081,
Bulgaria,Female,2000,UNESCO_UIS Database_Sep2007,Number,149671,
Bulgaria,Female,1999,UNESCO_UIS Database_Sep2007,Number,160614,
Bulgaria,Male,2005,UNESCO_UIS Database_Sep2007,Number,113969,
Bulgaria,Male,2004,UNESCO_UIS Database_Sep2007,Number,108578,
Bulgaria,Male,2003,UNESCO_UIS Database_Sep2007,Number,108804,
Bulgaria,Male,2002,UNESCO_UIS Database_Sep2007,Number,105133,
Bulgaria,Male,2001,UNESCO_UIS Database_Sep2007,Number,107925,
Bulgaria,Male,2000,UNESCO_UIS Database_Sep2007,Number,111650,
Bulgaria,Male,1999,UNESCO_UIS Database_Sep2007,Number,109463,
Burkina Faso,Female,2005,UNESCO_UIS Database_Sep2007,Number,8587,
Burkina Faso,Female,2004,UNESCO_UIS Database_Sep2007,Number,4228,1
Burkina Faso,Female,2003,UNESCO_UIS Database_Sep2007,Number,4078,
Burkina Faso,Female,2002,UNESCO_UIS Database_Sep2007,Number,3946,
Burkina Faso,Female,2001,UNESCO_UIS Database_Sep2007,Number,3130,1
Burkina Faso,Female,2000,UNESCO_UIS Database_Sep2007,Number,…,4
Burkina Faso,Female,1999,UNESCO_UIS Database_Sep2007,Number,2251,
Burkina Faso,Male,2005,UNESCO_UIS Database_Sep2007,Number,19355,
Burkina Faso,Male,2004,UNESCO_UIS Database_Sep2007,Number,14640,
Burkina Faso,Male,2003,UNESCO_UIS Database_Sep2007,Number,14122,
Burkina Faso,Male,2002,UNESCO_UIS Database_Sep2007,Number,11589,
Burkina Faso,Male,2001,UNESCO_UIS Database_Sep2007,Number,9192,5
Burkina Faso,Male,2000,UNESCO_UIS Database_Sep2007,Number,…,4
Burkina Faso,Male,1999,UNESCO_UIS Database_Sep2007,Number,7627,
Burundi,Female,2005,UNESCO_UIS Database_Sep2007,Number,4673,1
Burundi,Female,2004,UNESCO_UIS Database_Sep2007,Number,4353,
Burundi,Female,2003,UNESCO_UIS Database_Sep2007,Number,3795,1
Burundi,Female,2002,UNESCO_UIS Database_Sep2007,Number,3211,
Burundi,Female,2001,UNESCO_UIS Database_Sep2007,Number,1712,
Burundi,Female,2000,UNESCO_UIS Database_Sep2007,Number,1643,
Burundi,Female,1999,UNESCO_UIS Database_Sep2007,Number,1488,
Burundi,Male,2005,UNESCO_UIS Database_Sep2007,Number,12216,
Burundi,Male,2004,UNESCO_UIS Database_Sep2007,Number,11353,
Burundi,Male,2003,UNESCO_UIS Database_Sep2007,Number,8120,
Burundi,Male,2002,UNESCO_UIS Database_Sep2007,Number,7335,
Burundi,Male,2001,UNESCO_UIS Database_Sep2007,Number,4577,
Burundi,Male,2000,UNESCO_UIS Database_Sep2007,Number,4489,
Burundi,Male,1999,UNESCO_UIS Database_Sep2007,Number,3549,
Cambodia,Female,2005,UNESCO_UIS Database_Sep2007,Number,17875,
Cambodia,Female,2004,UNESCO_UIS Database_Sep2007,Number,14196,
Cambodia,Female,2003,UNESCO_UIS Database_Sep2007,Number,12457,1
Cambodia,Female,2002,UNESCO_UIS Database_Sep2007,Number,9228,
Cambodia,Female,2001,UNESCO_UIS Database_Sep2007,Number,6950,
Cambodia,Female,2000,UNESCO_UIS Database_Sep2007,Number,5547,
Cambodia,Male,2005,UNESCO_UIS Database_Sep2007,Number,38935,
Cambodia,Male,2004,UNESCO_UIS Database_Sep2007,Number,31174,
Cambodia,Male,2003,UNESCO_UIS Database_Sep2007,Number,30753,5
Cambodia,Male,2002,UNESCO_UIS Database_Sep2007,Number,22782,
Cambodia,Male,2001,UNESCO_UIS Database_Sep2007,Number,18466,
Cambodia,Male,2000,UNESCO_UIS Database_Sep2007,Number,16561,
Cameroon,Female,2005,UNESCO_UIS Database_Sep2007,Number,39448,1
Cameroon,Female,2004,UNESCO_UIS Database_Sep2007,Number,32541,1
Cameroon,Female,2003,UNESCO_UIS Database_Sep2007,Number,31538,1
Cameroon,Female,2002,UNESCO_UIS Database_Sep2007,Number,30138,1
Cameroon,Male,2005,UNESCO_UIS Database_Sep2007,Number,60416,
Cameroon,Male,2004,UNESCO_UIS Database_Sep2007,Number,51362,
Cameroon,Male,2003,UNESCO_UIS Database_Sep2007,Number,49780,5
Cameroon,Male,2002,UNESCO_UIS Database_Sep2007,Number,47569,5
Canada,Female,2004,UNESCO_UIS Database_Sep2007,Number,748927,1
Canada,Female,2002,UNESCO_UIS Database_Sep2007,Number,707689,
Canada,Female,2000,UNESCO_UIS Database_Sep2007,Number,678935,
Canada,Female,1999,UNESCO_UIS Database_Sep2007,Number,683311,
Canada,Male,2004,UNESCO_UIS Database_Sep2007,Number,577784,
Canada,Male,2002,UNESCO_UIS Database_Sep2007,Number,547144,
Canada,Male,2000,UNESCO_UIS Database_Sep2007,Number,533226,
Canada,Male,1999,UNESCO_UIS Database_Sep2007,Number,537340,
Cape Verde,Female,2005,UNESCO_UIS Database_Sep2007,Number,1994,
Cape Verde,Female,2004,UNESCO_UIS Database_Sep2007,Number,1597,
Cape Verde,Female,2003,UNESCO_UIS Database_Sep2007,Number,1172,
Cape Verde,Female,2002,UNESCO_UIS Database_Sep2007,Number,924,
Cape Verde,Female,2001,UNESCO_UIS Database_Sep2007,Number,367,1
Cape Verde,Female,2000,UNESCO_UIS Database_Sep2007,Number,409,1
Cape Verde,Male,2005,UNESCO_UIS Database_Sep2007,Number,1916,
Cape Verde,Male,2004,UNESCO_UIS Database_Sep2007,Number,1439,
Cape Verde,Male,2003,UNESCO_UIS Database_Sep2007,Number,1043,
Cape Verde,Male,2002,UNESCO_UIS Database_Sep2007,Number,886,
Cape Verde,Male,2001,UNESCO_UIS Database_Sep2007,Number,351,5
Cape Verde,Male,2000,UNESCO_UIS Database_Sep2007,Number,392,5
Cayman Islands,Female,2001,UNESCO_UIS Database_Sep2007,Number,291,
Cayman Islands,Female,2000,UNESCO_UIS Database_Sep2007,Number,280,1
Cayman Islands,Female,1999,UNESCO_UIS Database_Sep2007,Number,280,1
Cayman Islands,Male,2001,UNESCO_UIS Database_Sep2007,Number,99,
Cayman Islands,Male,2000,UNESCO_UIS Database_Sep2007,Number,100,
Cayman Islands,Male,1999,UNESCO_UIS Database_Sep2007,Number,100,
Central African Republic,Female,2000,UNESCO_UIS Database_Sep2007,Number,1027,
Central African Republic,Female,1999,UNESCO_UIS Database_Sep2007,Number,1002,
Central African Republic,Male,2000,UNESCO_UIS Database_Sep2007,Number,5296,
